Sentence,Main Topic Sentiment
"cloud dataprep automatically detects schemas, data types, possible joins, and anomalies such as missing values, outliers, and duplicates",Positive
"cloud dataprep automatically detects schemas, data types, possible joins, and anomalies such as missing values, outliers, and duplicates",Positive
it also has great sorting capabilities.,Positive
user access and data security is seamlessly managed with cloud identity and access management.,Positive
very good for a starting point for data organization and presentation.,Positive
"your next ideal data transformation is suggested and predicted with each ui input, so you don�t have to write code.",Positive
"your next ideal data transformation is suggested and predicted with each ui input, so you don�t have to write code.",Positive
"however, you can easily change the size of samples, the scope of the sample, and the method by which the sample is created.",Positive
"process data stored in cloud storage, bigquery, or from your desktop, then export refined data to bigquery or cloud storage for storage, analysis, visualization, or machine learning.",Positive
so you get to skip the time-consuming work of assessing your data quality and go right to the exploration and analysis.,Positive
customer support is not the best.,Negative
customer support is not the best.,Negative
"integrations with datastores other than bigquery, google cloud storage, and the local filesystem are not supported.",Negative
data preparation is now much easier and faster with the product versus without it.,Positive
data preparation is now much easier and faster with the product versus without it.,Positive
"""delivers on its promises, but not remarkable""
 all its features that it advertises work well and the learning curve is not very steep so it is easy to use.",Positive
data preparation is now much faster with the software versus without it.,Positive
it really did help our team out so much and our data preparation is much faster.,Positive
it really did help our team out so much and our data preparation is much faster.,Positive
the interface is messy and somewhat hard to use.,Negative
"google cloud dataprep makes it easy to get to your data and manipulate it into beneficial information to use for research, machine learning or user interaction via a presentation tool or desktop.",Positive
"google cloud dataprep makes it easy to get to your data and manipulate it into beneficial information to use for research, machine learning or user interaction via a presentation tool or desktop.",Positive
"seeing how i have been wrangling data for over 20 years, the benefit of a feature-rich product to work through developing clean data, prepare research data or just provide daily insights via dashboards is very helpful.",Positive
"seeing how i have been wrangling data for over 20 years, the benefit of a feature-rich product to work through developing clean data, prepare research data or just provide daily insights via dashboards is very helpful.",Positive
data preparation is now much easier and faster with the product versus without it.,Positive
data preparation is now much easier and faster with the product versus without it.,Positive
"""delivers on its promises, but not remarkable""
 all its features that it advertises work well and the learning curve is not very steep so it is easy to use.",Positive
data preparation is now much faster with the software versus without it.,Positive
it really did help our team out so much and our data preparation is much faster.,Positive
it really did help our team out so much and our data preparation is much faster.,Positive
the interface is messy and somewhat hard to use.,Negative
"""clean up log files and any flat file easily""
 as a gcp user, the synchronization between flat files, cloud buckets and bigquery makes for very efficient access to data.",Positive
cleaning small datasets are made more efficient so its great for small jobs that are repeated regularly,Positive
i would recommend this to any team who needs assistance with cleaning up data for analysis.,Positive
it's a great tool for analysts and non-technical users who are comfortable with test and learn from the very intuitive workflow.,Positive
it's a great tool for analysts and non-technical users who are comfortable with test and learn from the very intuitive workflow.,Positive
"""clean up log files and any flat file easily""
 as a gcp user, the synchronization between flat files, cloud buckets and bigquery makes for very efficient access to data.",Positive
dataprep has given us a scalable tool that we can process and activate on log level data more efficiently.,Positive
dataprep has given us a scalable tool that we can process and activate on log level data more efficiently.,Positive
dataprep has given us a scalable tool that we can process and activate on log level data more efficiently.,Positive
it's a great tool for analysts and non-technical users who are comfortable with test and learn from the very intuitive workflow.,Positive
it's a great tool for analysts and non-technical users who are comfortable with test and learn from the very intuitive workflow.,Positive
it's a great tool for analysts and non-technical users who are comfortable with test and learn from the very intuitive workflow.,Positive
so having a full etl tool at our disposal without the heavy engineering resource requirements is a big win.,Positive
it makes data handling very easy.,Positive
"since you can use it with same credentials which you already use for google service,it provides with best exploring and preparing function for your data with big query.",Positive
"""its an intelligent cloud data service.""",Positive
it provides user with access and prepare data from storage themselves.,Positive
there are many business problems this product is solving for example its less time consuming since it analyze many issues itself which includes data transformation and its predicted with each ui input.,Positive
its a user friendly product and,Positive
and yes its pretty user friendly as well.,Positive
the best part of this product is the fast process and understanding about exploring the data very quick.,Positive
the best part of this product is the fast process and understanding about exploring the data very quick.,Positive
the best part of this product is the fast process and understanding about exploring the data very quick.,Positive
the best part of this product is the fast process and understanding about exploring the data very quick.,Positive
the best part of this product is the fast process and understanding about exploring the data very quick.,Positive
the reason it is called intelligent data service because it will visually explore clean and prepare those data which is not ready for immediate analysis and its very easy to use product so you will not get bored too,Positive
the reason it is called intelligent data service because it will visually explore clean and prepare those data which is not ready for immediate analysis and its very easy to use product so you will not get bored too,Positive
"""a great data cleaner/manager""",Positive
i clean and prepare the data to use in other programs or just to store them.,Positive
the connection between google cloud and cloud dataprep make my data storage and later data analysis much easier.,Positive
it is good to give it a shot if you are working with different types of data sets.,Positive
love the deep integration to the rest of the google cloud.,Positive
"not enough community support to get my questions answered, not enough googler's know about this.",Negative
"not enough community support to get my questions answered, not enough googler's know about this.",Negative
"preparing log data for analytics, basic cleansing and parsing.",Neutral
"preparing log data for analytics, basic cleansing and parsing.",Neutral
"""google cloud - here for you""
 the ease of access is my number one favorite feature.",Positive
"i used this with the help of a fellow employee at my company, but from my experience, i would recommend trying cloud dataprep.",Positive
"""great product for ml and data science""
 easy visualization of large datasets and easy preprocessing for first time look at a new datasets.",Positive
"""great product for ml and data science""
 easy visualization of large datasets and easy preprocessing for first time look at a new datasets.",Positive
"""great product for ml and data science""
 easy visualization of large datasets and easy preprocessing for first time look at a new datasets.",Positive
"""great product for ml and data science""
 easy visualization of large datasets and easy preprocessing for first time look at a new datasets.",Positive
faster and more agile data analysis,Positive
faster and more agile data analysis,Positive
flexible pipeline features.,Positive
faster and more agile data analysis,Positive
on occasion when importing data from gcp buckets (ex csv) it has lost some of my datareview collected by and hosted on g2.com.,Negative
"""an easy to use solution with high value returns""",Positive
trifacta provides the advantage of the data in the correct format with the correct data quality for the necessary integratory.,Positive
the ability to provide an automated data profile pipe-line and manage via exception.,Positive
the ability to provide an automated data profile pipe-line and manage via exception.,Positive
the ability to provide an automated data profile pipe-line and manage via exception.,Positive
the ability to provide an automated data profile pipe-line and manage via exception.,Positive
this process is assist in providing a full automated real-time application score to approve medical project applications.,Positive
this process is assist in providing a full automated real-time application score to approve medical project applications.,Positive
this process is assist in providing a full automated real-time application score to approve medical project applications.,Positive
makes it easy for business users to use trifacta.,Positive
the ease of use that provides agility and speed to provide the correct view of the data for business value to the enterprise.,Positive
you can perform complex data profiling and wrangling task easy and with the necessary speed business demand,Positive
you can perform complex data profiling and wrangling task easy and with the necessary speed business demand,Positive
we are solving merging various datasets into one view easily with automating the process for machine learning.,Positive
"""extremely useful for anyone that wants to periodically process data""
 how easy it is to create a data processing pipeline.",Positive
the ability to see what each transformation would do to your data helps a lot.,Positive
"the ui is very smart, although it sometimes freezes a little bit.",Positive
"also, the new price model for the future years will make the solution impossible to use for some companies (probably mine included)",Negative
"also, the new price model for the future years will make the solution impossible to use for some companies (probably mine included)",Negative
check the new price model carefully,Negative
check the new price model carefully,Negative
"""excellent data wrangling tool""
 see video review
 see video review",Positive
"""dataprep is a great tool for technical and not-so-technical people.""",Positive
"""dataprep is a great tool for technical and not-so-technical people.""",Positive
"""dataprep is a great tool for technical and not-so-technical people.""",Positive
"we started our data wrangling projects with raw sql in bigquery, but that quickly proved to be very messy in terms of code management.",Positive
"when there are complex transformations and / or cleaning happening, it's great to have everything centralised in dataprep and having a visual representation of what happens to the data in every stage.",Positive
"when there are complex transformations and / or cleaning happening, it's great to have everything centralised in dataprep and having a visual representation of what happens to the data in every stage.",Positive
it should be possible to allow working with entire datasets instead of just samples.,Positive
"dataprep is intuitive to use if you have some background knowledge in data wrangling, but it is also a great platform to learn the data wrangling concepts by applying them.",Positive
"when there are complex transformations and / or cleaning happening, it's great to have everything centralised in dataprep and having a visual representation of what happens to the data in every stage.",Positive
"when there are complex transformations and / or cleaning happening, it's great to have everything centralised in dataprep and having a visual representation of what happens to the data in every stage.",Positive
"when there are complex transformations and / or cleaning happening, it's great to have everything centralised in dataprep and having a visual representation of what happens to the data in every stage.",Positive
"when there are complex transformations and / or cleaning happening, it's great to have everything centralised in dataprep and having a visual representation of what happens to the data in every stage.",Positive
"when there are complex transformations and / or cleaning happening, it's great to have everything centralised in dataprep and having a visual representation of what happens to the data in every stage.",Positive
the interface is relatively slow.,Negative
the new drag-and-drop interface is not as easy to use as i would want it to be (even though it is still in beta).,Negative
the new drag-and-drop interface is not as easy to use as i would want it to be (even though it is still in beta).,Negative
the new drag-and-drop interface is not as easy to use as i would want it to be (even though it is still in beta).,Negative
the new drag-and-drop interface is not as easy to use as i would want it to be (even though it is still in beta).,Negative
the new drag-and-drop interface is not as easy to use as i would want it to be (even though it is still in beta).,Negative
i am able to create flows and save them in order to use those data transformations again when we run similar reporting.,Positive
trifacta by far is the most convenient software i have used by far.,Positive
"we are currently integrating data from a web app platform to rpa and data analytics, the wrangling of free text and transformations has greatly increased the speed at which this can be done and so makes the whole process so much more accurate.",Positive
"we are currently integrating data from a web app platform to rpa and data analytics, the wrangling of free text and transformations has greatly increased the speed at which this can be done and so makes the whole process so much more accurate.",Positive
"we are currently integrating data from a web app platform to rpa and data analytics, the wrangling of free text and transformations has greatly increased the speed at which this can be done and so makes the whole process so much more accurate.",Positive
"we are currently integrating data from a web app platform to rpa and data analytics, the wrangling of free text and transformations has greatly increased the speed at which this can be done and so makes the whole process so much more accurate.",Positive
"we are currently integrating data from a web app platform to rpa and data analytics, the wrangling of free text and transformations has greatly increased the speed at which this can be done and so makes the whole process so much more accurate.",Positive
"we are currently integrating data from a web app platform to rpa and data analytics, the wrangling of free text and transformations has greatly increased the speed at which this can be done and so makes the whole process so much more accurate.",Positive
"we are currently integrating data from a web app platform to rpa and data analytics, the wrangling of free text and transformations has greatly increased the speed at which this can be done and so makes the whole process so much more accurate.",Positive
"we are currently integrating data from a web app platform to rpa and data analytics, the wrangling of free text and transformations has greatly increased the speed at which this can be done and so makes the whole process so much more accurate.",Positive
"we are currently integrating data from a web app platform to rpa and data analytics, the wrangling of free text and transformations has greatly increased the speed at which this can be done and so makes the whole process so much more accurate.",Positive
"we are currently integrating data from a web app platform to rpa and data analytics, the wrangling of free text and transformations has greatly increased the speed at which this can be done and so makes the whole process so much more accurate.",Positive
"we are currently integrating data from a web app platform to rpa and data analytics, the wrangling of free text and transformations has greatly increased the speed at which this can be done and so makes the whole process so much more accurate.",Positive
"we are currently integrating data from a web app platform to rpa and data analytics, the wrangling of free text and transformations has greatly increased the speed at which this can be done and so makes the whole process so much more accurate.",Positive
"when considering trifacta, my advice is that you need to know that it may take you a bit to get used to although the learning curve is not large at all, it is a much more user friendly tool and to developers this can be a bit different.",Positive
"""trifacta is a great tool to automate data cleaning and preparation""
 i like that",Positive
"""trifacta is a great tool to automate data cleaning and preparation""
 i like that",Positive
"""trifacta is a great tool to automate data cleaning and preparation""
 i like that",Positive
"""trifacta is a great tool to automate data cleaning and preparation""
 i like that",Positive
"""trifacta is a great tool to automate data cleaning and preparation""
 i like that",Positive
the tool is extremely user friendly.,Positive
"""user friendly tool with lots of scope for improvement""",Positive
